ZSczzzC, 
2022-07-21 11:04:54,240 - ebanking -INFO - URL is opened
2022-07-21 11:04:54,593 - ebanking -INFO - Entered Username
2022-07-21 11:04:55,461 - ebanking -INFO - Entered Password
2022-07-21 11:05:18,264 - ebanking -INFO - test case passed
2022-07-21 11:08:57,750 - ebanking -INFO - URL is opened
2022-07-21 11:08:58,139 - ebanking -INFO - Entered Username
2022-07-21 11:08:58,968 - ebanking -INFO - Entered Password
2022-07-21 11:09:01,295 - ebanking -INFO - Login test passed
2022-07-21 11:09:06,096 - ebanking -INFO - URL is opened
2022-07-21 11:09:08,308 - ebanking -INFO - Entered Username
2022-07-21 11:09:08,592 - ebanking -INFO - Entered Password
2022-07-21 11:09:14,925 - ebanking -WARN - Login failed
2022-07-21 11:09:15,533 - ebanking -INFO - Entered Username
2022-07-21 11:09:15,680 - ebanking -INFO - Entered Password
2022-07-21 11:09:22,781 - ebanking -INFO - Login passed
2022-07-21 11:09:33,210 - ebanking -INFO - URL is opened
2022-07-21 11:09:33,565 - ebanking -INFO - Entered Username
2022-07-21 11:09:34,290 - ebanking -INFO - Entered Password
2022-07-21 11:09:57,082 - ebanking -INFO - test case passed
2022-07-21 14:32:41,557 - ebanking -INFO - URL is opened
2022-07-21 14:32:41,884 - ebanking -INFO - Entered Username
2022-07-21 14:32:42,389 - ebanking -INFO - Entered Password
2022-07-21 14:32:44,854 - ebanking -INFO - Login test passed
2022-07-21 14:32:50,122 - ebanking -INFO - URL is opened
2022-07-21 14:32:52,583 - ebanking -INFO - Entered Username
2022-07-21 14:32:52,873 - ebanking -INFO - Entered Password
2022-07-21 14:32:59,260 - ebanking -WARN - Login failed
2022-07-21 14:32:59,803 - ebanking -INFO - Entered Username
2022-07-21 14:32:59,938 - ebanking -INFO - Entered Password
2022-07-21 14:33:05,282 - ebanking -INFO - Login passed
2022-07-21 14:33:17,572 - ebanking -INFO - URL is opened
2022-07-21 14:33:17,809 - ebanking -INFO - Entered Username
2022-07-21 14:33:18,198 - ebanking -INFO - Entered Password
2022-07-21 14:38:57,401 - ebanking -INFO - URL is opened
2022-07-21 14:38:58,129 - ebanking -INFO - Entered Username
2022-07-21 14:38:58,689 - ebanking -INFO - Entered Password
2022-07-21 14:39:01,877 - ebanking -INFO - Login test passed
2022-07-21 14:39:06,772 - ebanking -INFO - URL is opened
2022-07-21 14:39:08,994 - ebanking -INFO - Entered Username
2022-07-21 14:39:09,133 - ebanking -INFO - Entered Password
2022-07-21 14:39:15,405 - ebanking -WARN - Login failed
2022-07-21 14:39:15,948 - ebanking -INFO - Entered Username
2022-07-21 14:39:16,062 - ebanking -INFO - Entered Password
2022-07-21 14:39:23,240 - ebanking -INFO - Login passed
2022-07-21 14:39:32,803 - ebanking -INFO - URL is opened
2022-07-21 14:39:33,035 - ebanking -INFO - Entered Username
2022-07-21 14:39:33,227 - ebanking -INFO - Entered Password
2022-07-21 14:45:28,716 - ebanking -INFO - URL is opened
2022-07-21 14:45:29,067 - ebanking -INFO - Entered Username
2022-07-21 14:45:29,982 - ebanking -INFO - Entered Password
2022-07-21 14:45:32,857 - ebanking -INFO - Login test passed
2022-07-21 14:45:38,286 - ebanking -INFO - URL is opened
2022-07-21 14:45:40,361 - ebanking -INFO - Entered Username
2022-07-21 14:45:40,498 - ebanking -INFO - Entered Password
2022-07-21 14:45:46,433 - ebanking -WARN - Login failed
2022-07-21 14:45:46,932 - ebanking -INFO - Entered Username
2022-07-21 14:45:47,057 - ebanking -INFO - Entered Password
2022-07-21 14:45:53,310 - ebanking -INFO - Login passed
2022-07-21 15:06:51,555 - ebanking -INFO - URL is opened
2022-07-21 15:06:51,869 - ebanking -INFO - Entered Username
2022-07-21 15:06:52,574 - ebanking -INFO - Entered Password
2022-07-21 15:06:58,640 - ebanking -INFO - URL is opened
2022-07-21 15:07:00,776 - ebanking -INFO - Entered Username
2022-07-21 15:07:00,935 - ebanking -INFO - Entered Password
2022-07-21 15:07:06,981 - ebanking -WARN - Login failed
2022-07-21 15:07:07,502 - ebanking -INFO - Entered Username
2022-07-21 15:07:07,621 - ebanking -INFO - Entered Password
2022-07-21 15:07:13,752 - ebanking -INFO - Login passed
2022-07-22 10:29:06,123 - ebanking -INFO - URL is opened
2022-07-22 10:29:06,724 - ebanking -INFO - Entered Username
2022-07-22 10:29:07,520 - ebanking -INFO - Entered Password
2022-07-22 10:29:10,246 - ebanking -INFO - Login test passed
2022-07-22 10:29:16,683 - ebanking -INFO - URL is opened
2022-07-22 10:29:19,183 - ebanking -INFO - Entered Username
2022-07-22 10:29:19,360 - ebanking -INFO - Entered Password
2022-07-22 10:29:25,081 - ebanking -WARN - Login failed
2022-07-22 10:29:25,630 - ebanking -INFO - Entered Username
2022-07-22 10:29:25,966 - ebanking -INFO - Entered Password
2022-07-22 10:29:32,569 - ebanking -INFO - Login passed
2022-07-22 10:34:26,641 - ebanking -INFO - URL is opened
2022-07-22 10:34:27,331 - ebanking -INFO - Entered Username
2022-07-22 10:34:27,581 - ebanking -INFO - Entered Password
2022-07-22 10:34:51,173 - ebanking -INFO - test case passed
